EmployeeKey,SalesTerritoryKey,EmailAddress
205,11,janet0@adventure-works.com
206,11,elizabeth0@adventure-works.com
207,11,terry0@adventure-works.com
208,11,john3@adventure-works.com
209,11,merav0@adventure-works.com
210,11,brian1@adventure-works.com
211,11,kitti0@adventure-works.com
212,11,jay0@adventure-works.com
213,11,jan0@adventure-works.com
214,11,brenda0@adventure-works.com
215,11,andrew1@adventure-works.com
216,11,chris1@adventure-works.com
217,11,chris2@adventure-works.com
218,11,shelley0@adventure-works.com
219,11,gabe0@adventure-works.com
220,11,mike0@adventure-works.com
221,11,michael6@adventure-works.com
222,11,gary1@adventure-works.com
223,11,charles0@adventure-works.com
224,11,ebru0@adventure-works.com
225,11,sylvester0@adventure-works.com
226,11,brian2@adventure-works.com
227,11,linda2@adventure-works.com
228,11,betsy0@adventure-works.com
229,11,magnus0@adventure-works.com
230,11,karan0@adventure-works.com
231,11,mary1@adventure-works.com
232,11,kevin2@adventure-works.com
233,11,mihail0@adventure-works.com
234,11,bonnie0@adventure-works.com
235,11,fukiko0@adventure-works.com
236,11,hung-fu0@adventure-works.com
237,11,gordon0@adventure-works.com
238,11,kimberly0@adventure-works.com
239,11,kim1@adventure-works.com
240,11,sandeep0@adventure-works.com
241,11,prasanna0@adventure-works.com
242,11,frank2@adventure-works.com
243,11,min0@adventure-works.com
244,11,eric1@adventure-works.com
245,11,eric2@adventure-works.com
246,11,pat0@adventure-works.com
247,11,maciej0@adventure-works.com
248,11,erin0@adventure-works.com
249,11,patrick0@adventure-works.com
250,11,frank3@adventure-works.com
251,11,ed0@adventure-works.com
252,11,christopher0@adventure-works.com
253,11,patrick1@adventure-works.com
254,11,krishna0@adventure-works.com
255,11,lori1@adventure-works.com
256,11,danielle0@adventure-works.com
257,11,sootha0@adventure-works.com
258,11,michael7@adventure-works.com
259,11,randy0@adventure-works.com
260,11,john4@adventure-works.com
261,11,jack1@adventure-works.com
262,11,olinda0@adventure-works.com
263,11,stuart1@adventure-works.com
264,11,jo1@adventure-works.com
265,11,ben0@adventure-works.com
266,11,tom0@adventure-works.com
267,11,ovidiu0@adventure-works.com
268,11,annette0@adventure-works.com
269,11,janice0@adventure-works.com
270,11,reinout0@adventure-works.com
271,11,michael8@adventure-works.com
272,11,stephen0@adventure-works.com
273,11,wanida0@adventure-works.com
274,11,sharon0@adventure-works.com
275,11,john5@adventure-works.com
276,11,mary2@adventure-works.com
277,11,brian3@adventure-works.com
278,11,sheela0@adventure-works.com
279,11,sheela0@adventure-works.com
280,11,sheela0@adventure-works.com
290,11,amy0@adventure-works.com
294,11,syed0@adventure-works.com
281,2,michael9@adventure-works.com
282,4,linda3@adventure-works.com
283,3,jillian0@adventure-works.com
284,6,garrett1@adventure-works.com
285,5,tsvi0@adventure-works.com
286,1,pamela0@adventure-works.com
287,4,shu0@adventure-works.com
288,6,josé1@adventure-works.com
289,1,david8@adventure-works.com
291,10,jae0@adventure-works.com
292,7,ranjit0@adventure-works.com
293,1,tete0@adventure-works.com
295,8,rachel0@adventure-works.com
296,9,lynn0@adventure-works.com
